name	source
acid green	xkcd
adobe	xkcd
algae	xkcd
algae green	xkcd
alice blue	css
almost black	xkcd
amber	xkcd
amethyst	xkcd
antique white	css
apple	xkcd
apple green	xkcd
apricot	xkcd
aqua	xkcd+css
aqua blue	xkcd
aqua green	xkcd
aqua marine	xkcd
aquamarine	xkcd+css
army green	xkcd
asparagus	xkcd
aubergine	xkcd
auburn	xkcd
avocado	xkcd
avocado green	xkcd
azul	xkcd
azure	xkcd+css
banana	xkcd
banana yellow	xkcd
barbie pink	xkcd
barney	xkcd
barney purple	xkcd
battleship grey	xkcd
beige	xkcd+css
berry	xkcd
bisque	css
black	xkcd+css
blanched almond	css
bland	xkcd
blood	xkcd
blood orange	xkcd
blood red	xkcd
blue	xkcd+css
blue blue	xkcd
blue green	xkcd
blue grey	xkcd
blue purple	xkcd
blue violet	xkcd+css
blue with a hint of purple	xkcd
blueberry	xkcd
bluegreen	xkcd
bluegrey	xkcd
bluey green	xkcd
bluey grey	xkcd
bluey purple	xkcd
bluish	xkcd
bluish green	xkcd
bluish grey	xkcd
bluish purple	xkcd
blurple	xkcd
blush	xkcd
blush pink	xkcd
bordeaux	xkcd
boring green	xkcd
bottle green	xkcd
brick	xkcd
brick orange	xkcd
brick red	xkcd
bright aqua	xkcd
bright blue	xkcd
bright cyan	xkcd
bright green	xkcd
bright lavender	xkcd
bright light blue	xkcd
bright light green	xkcd
bright lilac	xkcd
bright lime	xkcd
bright lime green	xkcd
bright magenta	xkcd
bright olive	xkcd
bright orange	xkcd
bright pink	xkcd
bright purple	xkcd
bright red	xkcd
bright sea green	xkcd
bright sky blue	xkcd
bright teal	xkcd
bright turquoise	xkcd
bright violet	xkcd
bright yellow	xkcd
bright yellow green	xkcd
british racing green	xkcd
bronze	xkcd
brown	xkcd+css
brown green	xkcd
brown grey	xkcd
brown orange	xkcd
brown red	xkcd
brown yellow	xkcd
brownish	xkcd
brownish green	xkcd
brownish grey	xkcd
brownish orange	xkcd
brownish pink	xkcd
brownish purple	xkcd
brownish red	xkcd
brownish yellow	xkcd
browny green	xkcd
browny orange	xkcd
bruise	xkcd
bubble gum pink	xkcd
bubblegum	xkcd
bubblegum pink	xkcd
buff	xkcd
burgundy	xkcd
burlywood	css
burnt orange	xkcd
burnt red	xkcd
burnt siena	xkcd
burnt sienna	xkcd
burnt umber	xkcd
burnt yellow	xkcd
burple	xkcd
butter	xkcd
butter yellow	xkcd
butterscotch	xkcd
cadet blue	xkcd+css
camel	xkcd
camo	xkcd
camo green	xkcd
camouflage green	xkcd
canary	xkcd
canary yellow	xkcd
candy pink	xkcd
caramel	xkcd
carmine	xkcd
carnation	xkcd
carnation pink	xkcd
carolina blue	xkcd
celadon	xkcd
celery	xkcd
cement	xkcd
cerise	xkcd
cerulean	xkcd
cerulean blue	xkcd
charcoal	xkcd
charcoal grey	xkcd
chartreuse	xkcd+css
cherry	xkcd
cherry red	xkcd
chestnut	xkcd
chocolate	xkcd+css
chocolate brown	xkcd
cinnamon	xkcd
claret	xkcd
clay	xkcd
clay brown	xkcd
clear blue	xkcd
cloudy blue	xkcd
cobalt	xkcd
cobalt blue	xkcd
cocoa	xkcd
coffee	xkcd
cool blue	xkcd
cool green	xkcd
cool grey	xkcd
copper	xkcd
coral	xkcd+css
coral pink	xkcd
