kind	purpose
project	retail launch
project	annual report
project	museum installation
project	client migration
project	brand research
project	regional workshop
project	fundraising campaign
project	supplier transition
project	website relaunch
project	packaging redesign
project	warehouse relocation
project	payroll system migration
project	customer survey
project	store fit-out
project	catalogue photography
project	trade show booth
project	grant application
project	volunteer onboarding
project	membership drive
project	product recall
project	inventory audit
project	leadership offsite
project	training curriculum
project	accessibility audit
project	sustainability report
project	logo refresh
project	signage rollout
project	loyalty programme
project	pop-up shop
project	pricing review
project	vendor consolidation
project	billing cleanup
project	market entry study
project	community newsletter
project	archive digitisation
project	open house event
project	donor gala
project	film screening series
project	podcast pilot
project	mobile app prototype
project	data warehouse rebuild
project	fleet replacement
project	kitchen renovation
project	seasonal menu
project	farm partnership
project	apprenticeship scheme
project	scholarship fund
project	neighbourhood mural
project	festival stage build
project	conference programme
project	book launch
project	exhibition catalogue
project	studio expansion
project	patient intake redesign
project	clinic scheduling
project	lab equipment upgrade
project	field survey
project	wildlife corridor plan
project	river cleanup
project	school garden
project	summer camp
project	language course
project	translation project
project	subtitling contract
project	photo archive
project	oral history project
project	reunion weekend
project	wedding logistics
project	estate sale
project	home renovation
project	garden redesign
project	cycling event
project	charity run
project	tournament hosting
project	choir tour
project	theatre season
project	gallery opening
project	craft fair
project	farmers market
project	coworking launch
project	makerspace build
project	repair cafe
project	tool library
project	bike share pilot
project	transit study
project	parking review
project	housing survey
project	zoning appeal
project	library refit
project	playground rebuild
project	skate park
project	dog park
project	community fridge
project	food bank drive
project	clothing swap
project	winter shelter
project	heatwave plan
project	flood response
project	first aid training
project	fire drill programme
project	security audit
project	insurance renewal
project	lease negotiation
project	office move
project	desk booking rollout
project	intranet redesign
project	knowledge base
project	help desk migration
project	onboarding handbook
project	benefits review
project	hiring sprint
project	internship cohort
project	mentorship circle
project	book club
project	speaker series
project	hackathon
project	design sprint
project	user research round
project	beta programme
project	release train
project	bug bash
trip	food research
trip	museum research
trip	wildlife fieldwork
trip	family reunion
trip	music festival
trip	supplier meetings
trip	architecture tour
trip	archive project
trip	cycling holiday
trip	hiking circuit
trip	photography workshop
trip	cooking course
trip	language immersion
trip	vineyard visits
trip	coastal road trip
trip	island hopping
trip	rail journey
trip	volunteer build
trip	conference circuit
trip	book fair
trip	film festival
trip	design week
trip	craft market tour
trip	garden tour
trip	birdwatching
trip	wedding trip
trip	graduation visit
trip	honeymoon
trip	anniversary trip
trip	sabbatical
trip	writing retreat
trip	yoga retreat
trip	surf trip
trip	ski week
trip	climbing trip
trip	kayak expedition
trip	sailing week
trip	diving trip
trip	pilgrimage
trip	ancestry research
trip	market research
trip	factory visits
trip	studio visits
trip	gallery circuit
trip	theatre weekend
trip	opera season
trip	jazz circuit
trip	choir exchange
trip	sports tournament
trip	marathon trip
trip	training camp
trip	farm stay
trip	monastery stay
trip	heritage tour
trip	ceramics course
trip	textile sourcing
trip	wine buying
trip	coffee sourcing
trip	tea sourcing
trip	spice route
